[PERSONNAGE]
position=900,420
largeur=25
hauteur=25

[BLOCS]

mur;0,750;1000;50
mur;0,0;0;1000
mur;0,0;1000;0
mur;1000,0;0;800

platform;585,700;80;50
platform;840,445;160;40
platform;780,530;45;20
platform;610,520;90;30
platform;700,605;75;20
platform;385,630;80;120
platform;335,630;50;30
platform;175,555;100;35
platform;325,480;120;30
platform;435,410;55;15
platform;515,390;70;35
platform;600,325;100;25
platform;665,250;75;35
platform;735,200;60;30
platform;795,135;205;40

objectif;855,90;40;45
